Aas	[aːs]		死肉；腐肉〈n.〉
Schimmer	[ʃɪmɐ]		光束；微光；反光；闪烁〈n.m.〉
Schinken	[ʃɪnkən]		火腿〈n.m.〉
Schirm	[ʃɪʁm]		伞〈n.m.〉
Schiss	[ʃɪs]		恐惧；害怕（俗）〈n.〉
Schlacht	[ʃlaxt]		战役〈n.f.〉
Schlachtfeld	[ʃlaxtfəlt]		战场；沙场〈n.〉
Schlaf	[ʃlaːf]		睡眠〈n.m.〉
Schlafanzug	[ʃlaːfant͡suːk]		睡衣裤；宽松裤〈n.m.〉
Schlafenszeit	[ʃlaːfənst͡saɪt]		就寝时间〈n.f.〉
Schlafmittel	[ʃlafmɪtəl]		安眠药〈n.〉
Schlafzimmer	[ʃlaft͡sɪmɐ]		卧室〈n.〉
Schlag	[ʃlaːk]		打击〈n.m.〉
Schlaganfall	[ʃlaːɡanfal]		笔划；打；中风〈n.m.〉
Schlagzeile	[ʃlaɡt͡saɪlə]		捕捉；陷阱；捕捉之物〈n.f.〉
Schlagzeug	[ʃlaɡt͡sɔʏk]		敲打；碰撞；叩击〈n.〉
Schlamassel	[ʃlaːmasəl]		食堂；伙食；用膳〈n.〉
Schlamm	[ʃlam]		泥；诽谤；弄脏〈n.m.〉
Schlange	[ʃlanɡə]		蛇；队伍〈n.f.〉
Schlauch	[ʃlaʊx]		水管；橡皮软管〈n.m.〉
Schleier	[ʃlaɪɐ]		帐；幕〈n.m.〉
Schleife	[ʃlaɪfə]		环；圈；弯曲部分〈n.f.〉
Schleifen	[ʃlaɪfən]		刺耳的；沉重的；剧烈的；研磨〈n.〉
Schleim	[ʃlaɪm]		粘液〈n.m.〉
Schleppen	[ʃlɛpən]		拖车；拖吊〈n.〉
Schleudern	[ʃlɔʏdɐn]		打滑甩尾；脱水甩干；抛掷〈n.〉
Schließ	[ʃliːs]		关闭（schließen 变化形式）〈n.〉
Schließe	[ʃliːsə]		扣子；钩；紧握；扣紧〈n.f.〉
Schließfach	[ʃliːsfaːx]		抽屉；小柜；上锁人；锁柜〈n.〉
Schlinge	[ʃlɪnɡə]		索环；环扣〈n.f.〉
Schlitten	[ʃlɪtən]		滑；滑道；山崩〈n.m.〉
Schlitz	[ʃlɪt͡s]		裂缝；投币口〈n.m.〉
Schloss	[ʃlɔs]		锁；宫殿〈n.〉
Schlucht	[ʃlʊxt]		峡谷；海底悬崖〈n.f.〉
Schluck	[ʃlʊk]		一口〈n.m.〉
Schluckauf	[ʃlʊkaʊf]		打嗝〈n.m.〉
Schluss	[ʃlʊs]		结束〈n.m.〉
Schlussfolgerung	[ʃlʊsfɔlɡəʁʊnk]		结论；结尾；推论；缔结〈n.f.〉
Schläger	[ʃlɛːɡɐ]		球拍；恶棍〈n.m.〉
Schlägerei	[ʃlɛːɡəʁaɪ]		打架；争吵；斗志；对抗〈n.f.〉
Schlückchen	[ʃlʏkçən]		啜饮；小口喝〈n.〉
Schlüpfen	[ʃlʏpfən]		阴影；影线；剖面线〈n.〉
Schlüssel	[ʃlʏsəl]		钥匙〈n.m.〉
Schmelzen	[ʃmɛlt͡sən]		熔合物；结合；熔合；熔融〈n.〉
Schmerz	[ʃmɛʁt͡s]		疼痛〈n.m.〉
Schmetterling	[ʃmɛtəʁlɪnk]		蝴蝶；蝶式棉块；翼形皮癣；纸蝶〈n.m.〉
Schmieden	[ʃmiːdən]		锻炼；伪造；锻造；锻件〈n.〉
Schmiere	[ʃmiːʁə]		食堂；伙食；用膳〈n.f.〉
Schminke	[ʃmɪnkə]		捏造〈n.f.〉
Schmuck	[ʃmʊk]		首饰〈n.m.〉
Schmuckstück	[ʃmʊkstʏk]		块；片；篇〈n.〉
Schmuggler	[ʃmʊɡlɐ]		走私者；走私船〈n.m.〉
Schmutz	[ʃmʊt͡s]		污垢；泥土〈n.m.〉
Schmücken	[ʃmʏkən]		墓穴；坟墓；终结〈n.〉
Schnabel	[ʃnaːbəl]		鸟嘴；喙；嘴〈n.m.〉
Schnaps	[ʃnaps]		烈酒〈n.m.〉
Schnauze	[ʃnaʊt͡sə]		嘴（粗俗）〈n.f.〉
Schnecke	[ʃnɛkə]		蜗牛；行动迟缓的人；脑筋迟钝的人〈n.f.〉
Schnecken	[ʃnɛkən]		腹足类；蜗牛〈n.〉
Schnee	[ʃneː]		雪〈n.m.〉
Schneesturm	[ʃneːstʊʁm]		暴风雪；雪暴〈n.m.〉
Schneewittchen	[ʃneːvɪtçən]		雪；积雪；下雪〈n.〉
Schnupfen	[ʃnʊpfən]		头；头脑；领袖〈n.m.〉
Schnüffeln	[ʃnʏfəln]		吸食强力胶的习惯〈n.〉
Schnürsenkel	[ʃnʏʁzənkəl]		长靴；踢；解雇〈n.m.〉
Schock	[ʃɔk]		震惊〈n.m.〉
Schokolade	[ʃoːkɔladə]		巧克力〈n.f.〉
Schonen	[ʃoːnən]		爱护；保重（schonen 变化形式）〈n.〉
Schrank	[ʃʁank]		柜子〈n.m.〉
Schraube	[ʃʁaʊbə]		门闩；螺钉；筛子〈n.f.〉
Schreck	[ʃʁɛk]		惊骇；吃惊；惊吓〈n.m.〉
Schrecken	[ʃʁɛkən]		惊恐〈n.m.〉
Schreiber	[ʃʁaɪbɐ]		作家；撰稿者；抄写员；记录器〈n.m.〉
Schreibmaschine	[ʃʁaɪbmaʃɪnə]		打字机〈n.f.〉
Schreibtisch	[ʃʁaɪbtɪʃ]		书桌〈n.m.〉
Schrein	[ʃʁaɪn]		圣地；神龛〈n.m.〉
Schrift	[ʃʁɪft]		身体；人；尸体〈n.f.〉
Schriftsteller	[ʃʁɪftstəlɐ]		作家〈n.m.〉
Schritt	[ʃʁɪt]		步伐〈n.m.〉
Schrott	[ʃʁɔt]		废铁〈n.m.〉
Schrottplatz	[ʃʁɔtplat͡s]		废品堆放场〈n.m.〉
Schräge	[ʃʁɛːɡə]		斜面；斜角〈n.f.〉
Schub	[ʃuːp]		弹指；刺激〈n.m.〉
Schublade	[ʃʊbladə]		抽屉〈n.f.〉
Schubs	[ʃʊbs]		刺；戳；袋子〈n.m.〉
Schuft	[ʃʊft]		恶棍；无赖；坏蛋〈n.m.〉
Schuh	[ʃuː]		鞋〈n.m.〉
Schuld	[ʃʊlt]		过错；责任〈n.f.〉
Schulden	[ʃʊldən]		债务〈n.〉
Schuldgefühle	[ʃʊldɡəfyːlə]		良心的责备；后悔；悔恨〈n.〉
Schule	[ʃuːlə]		学校〈n.f.〉
Schuljahr	[ʃʊljaːɐ]		学年〈n.〉
Schultag	[ʃʊltaːk]		教学日；学生时代〈n.m.〉
Schulter	[ʃʊltɐ]		肩膀〈n.f.〉
Schuppen	[ʃʊpən]		棚屋〈n.m.〉
Schurke	[ʃʊʁkə]		恶棍；流氓〈n.m.〉
Schuss	[ʃʊs]		射击〈n.m.〉
Schusslinie	[ʃʊslɪniː]		发射线〈n.f.〉
Schusswunde	[ʃʊsvʊndə]		枪弹；射击；炮击〈n.f.〉
Schutt	[ʃʊt]		垃圾堆；垃圾填埋地〈n.m.〉
Schutz	[ʃʊt͡s]		保护〈n.m.〉
Schutzengel	[ʃʊt͡sənɡəl]		守护神；守护天使〈n.m.〉
Schwachkopf	[ʃvaxkɔpf]		傻瓜〈n.m.〉
Schwachsinn	[ʃvaksɪn]		胡说〈n.m.〉
Schwachstelle	[ʃvakstələ]		缺点；裂纹；瑕疵〈n.f.〉
Schwager	[ʃvaːɡɐ]		姐夫；妹夫〈n.m.〉
Schwamm	[ʃvam]		海绵；吸收掉〈n.m.〉
Schwan	[ʃvaːn]		天鹅；天鹅星座〈n.m.〉
Schwangere	[ʃvanɡəʁə]		孕妇〈n.f.〉
Schwangerschaft	[ʃvanɡəʁʃaft]		怀孕；丰富；多产〈n.f.〉
Schwanzlutscher	[ʃvant͡slʊt͡ʃɐ]		狗杂种；浑蛋〈n.m.〉
Schwarm	[ʃvaʁm]		群；大群；蜂群〈n.m.〉
Schwarzer	[ʃvaʁt͡sɐ]		黑色〈n.〉
Schwarzmarkt	[ʃvaʁt͡smaʁkt]		黑市〈n.m.〉
Schweben	[ʃveːbən]		漂浮；浮选；筹款〈n.〉
Schwede	[ʃveːdə]		瑞典人〈n.m.〉
Schweden	[ʃveːdən]		瑞典〈n.〉
Schwefel	[ʃveːfəl]		硫磺；硫〈n.〉
Schweigepflicht	[ʃvaɪɡəpflɪçt]		秘密；保密；秘密状态〈n.f.〉
Schwein	[ʃvaɪn]		猪〈n.〉
Schweinchen	[ʃvaɪnçən]		小猪；乳猪〈n.〉
Schweinefleisch	[ʃvaɪnəflaɪʃ]		猪肉〈n.〉
Schweinehund	[ʃvaɪneːʊnt]		猪；卑鄙的家伙〈n.m.〉
Schweinerei	[ʃvaɪnəʁaɪ]		坏事；恶行〈n.f.〉
Schweiz	[ʃvaɪt͡s]		瑞士〈n.〉
Schweizer	[ʃvaɪt͡sɐ]		瑞士人〈n.〉
Schweiß	[ʃvaɪs]		汗；汗水；水珠〈n.m.〉
Schwelle	[ʃvɛlə]		基石；槛；窗台〈n.f.〉
Schwellung	[ʃvɛlʊnk]		肿胀；肿大；隆起部〈n.f.〉
Schweres	[ʃveːʁəs]		沉重之物；困难的事〈n.〉
Schwerkraft	[ʃvɛʁkʁaft]		重力；地心引力〈n.f.〉
Schwert	[ʃvɛʁt]		剑〈n.〉
Schwester	[ʃvɛstɐ]		姐妹；护士〈n.f.〉
Schwiegermutter	[ʃviːɡəʁmʊtɐ]		婆母；岳母〈n.f.〉
Schwiegersohn	[ʃviːɡəʁzoːn]		女婿〈n.m.〉
Schwiegertochter	[ʃviːɡəʁtɔxtɐ]		媳妇〈n.f.〉
Schwiegervater	[ʃviːɡəʁfatɐ]		公公；岳父〈n.m.〉
Schwierigkeit	[ʃviːʁɪɡkaɪt]		困难〈n.f.〉
Schwimmer	[ʃvɪmɐ]		游泳者〈n.m.〉
Schwindel	[ʃvɪndəl]		眩晕；眩晕症；骗局〈n.m.〉
Schwindler	[ʃvɪndlɐ]		骗子〈n.m.〉
Schwingen	[ʃvɪnɡən]		摇摆；振幅；音律〈n.〉
Schwule	[ʃvuːlə]		男同性恋者〈n.m.〉
Schwung	[ʃvʊnk]		热情；气魄；神韵〈n.m.〉
Schwur	[ʃvuːɐ]		誓约；誓言；许愿；起誓〈n.m.〉
Schwäche	[ʃvɛçə]		弱点〈n.f.〉
Schwägerin	[ʃvɛːɡəʁiːn]		夫的姊妹；嫂子〈n.f.〉
Schwänze	[ʃvɛnt͡sə]		角落；转角〈n.f.〉
Schwänzen	[ʃvɛnt͡sən]		玩忽职守；旷课；旷学；旷职〈n.〉
Schädel	[ʃɛːdəl]		头骨〈n.m.〉
Schönheit	[ʃœnhaɪt]		美丽〈n.f.〉
Schöpfen	[ʃœpfən]		铲子；勺子；穴〈n.〉
Schöpfer	[ʃœpfɐ]		上帝；创造者；创作者〈n.m.〉
Schöpfung	[ʃœpfʊnk]		创造；创作物；发明；产生〈n.f.〉
Schüler	[ʃyːlɐ]		学生〈n.m.〉
Schülerin	[ʃyːləʁiːn]		女学生〈n.f.〉
Schürze	[ʃʏʁt͡sə]		围裙〈n.f.〉
Schüssel	[ʃʏsəl]		盖碗；焙盘〈n.f.〉
Schütteln	[ʃʏtəln]		摇动；震动；动摇〈n.〉
Schütze	[ʃʏt͡sə]		射手〈n.m.〉
Schützling	[ʃʏt͡slɪnk]		被保护者；门徒〈n.m.〉
See	[zeː]		湖〈n.f.〉
Seele	[zeːlə]		灵魂〈n.f.〉
Seemann	[zeːman]		船员；海员；水兵〈n.m.〉
Segel	[zeːɡəl]		帆；篷；帆船〈n.〉
Segen	[zeːɡən]		祝福〈n.m.〉
Sehne	[zeːnə]		腱〈n.f.〉
Sehnsucht	[zeːnzʊxt]		渴望〈n.f.〉
Seife	[zaɪfə]		肥皂〈n.f.〉
Seil	[zaɪl]		绳子〈n.〉
Seite	[zaɪtə]		页；边〈n.f.〉
Sekretär	[zɛkʁətɛːɐ]		秘书；书记；大臣〈n.m.〉
Sekretärin	[zɛkʁətɛʁiːn]		女秘书〈n.f.〉
Sekt	[zɛkt]		汽酒〈n.m.〉
Sektion	[zɛkt͡sjoːn]		区段；部分；区域〈n.f.〉
Sektor	[zɛktoːɐ]		区域〈n.m.〉
Sekunde	[zeːkʊndə]		秒〈n.f.〉
Selbstachtung	[zɛlbstaxtʊnk]		自尊；自负；自大〈n.f.〉
Selbstbewusstsein	[zɛlbstbəvʊstzaɪn]		自我〈n.〉
Selbstmitleid	[zɛlbstmɪtlaɪt]		自怜〈n.〉
Selbstmord	[zɛlbstmɔʁt]		自杀〈n.m.〉
Selbstvertrauen	[zɛlbstfəʁtʁaʊən]		自信〈n.〉
Selbstzerstörung	[zɛlbst͡səʁstœʁʊnk]		自毁；自杀〈n.f.〉
Semester	[zeːməstɐ]		术语；专有名词；期限〈n.〉
Seminar	[zeːmɪnaːɐ]		研究班；专家讨论会〈n.〉
Senat	[zeːnaːt]		参议院；立法机构；评议会〈n.m.〉
Senator	[zeːnatoːɐ]		参议员〈n.m.〉
Senatoren	[zeːnatɔʁən]		参议员（复数）〈n.〉
Sender	[zɛndɐ]		电视台〈n.m.〉
Sendung	[zɛndʊnk]		节目；运送〈n.f.〉
Senf	[zɛnf]		芥末；芥菜；强烈的兴趣；芥子〈n.m.〉
Senior	[zeːnɪoːɐ]		年长者；资深者〈n.m.〉
Sensation	[zɛnzat͡sjoːn]		感觉；轰动〈n.f.〉
Sensor	[zɛnzoːɐ]		传感器〈n.m.〉
Seoul	[zɛɔuːl]		灵魂；心灵；精神〈n.〉
September	[zɛptəmbɐ]		九月〈n.m.〉
Serge	[zɛʁɡə]		哔叽〈n.f.〉
Sergeant	[zɛʁɡɛant]		警官〈n.m.〉
Serie	[zeːʁiː]		系列〈n.f.〉
Serum	[zeːʁuːm]		浆液；血清；乳清〈n.〉
Service	[zɛʁfɪkə]		服务〈n.m.〉
Sessel	[zɛsəl]		活动靠背扶手椅；躺椅〈n.m.〉
Seuche	[zɔʏxə]		瘟疫；流行病；传染病〈n.f.〉
Seufzer	[zɔʏft͡sɐ]		叹息〈n.m.〉
Sex	[zɛks]		性〈n.m.〉
Sexualität	[zɛksʊalɪtɛːt]		性征；性行为；性欲；性别〈n.f.〉
Sheriff	[sheːʁɪf]		警长〈n.m.〉
Shogun	[shoːɡuːn]		幕府时代的将军〈n.m.〉
Show	[shoːv]		节目；表演〈n.f.〉
Sibirien	[ziːbɪʁiːn]		西伯利亚〈n.〉
Sicherheit	[zɪçəʁhaɪt]		安全〈n.f.〉
Sicherheitsmaßnahmen	[zɪçəʁhaɪtsmasnaːmən]		保障措施〈n.〉
Sicherheitssystem	[zɪçəʁhaɪtsʏstəm]		安全；保险；平安〈n.〉
Sicherung	[zɪçəʁʊnk]		安全；保险；平安〈n.f.〉
Sicht	[zɪçt]		视线〈n.f.〉
Sichtkontakt	[zɪçtkɔntakt]		视觉的；视力的；视觉性记忆优势者〈n.m.〉
Sichtweise	[zɪçtvaɪzə]		倾斜；斜面；观点〈n.f.〉
Siedler	[ziːdlɐ]		移民者；解决者；结算员；沉淀池〈n.m.〉
Siedlung	[ziːdlʊnk]		安顿；解决；处理〈n.f.〉
Sieg	[ziːk]		胜利〈n.m.〉
Siegel	[ziːɡəl]		印章；封条；海豹〈n.〉
Sieger	[ziːɡɐ]		优胜者〈n.m.〉
Signal	[zɪɡnaːl]		信号〈n.〉
Signatur	[zɪɡnatuːɐ]		签字；识别标志；调号；签名附件〈n.f.〉
Silber	[zɪlbɐ]		银〈n.〉
Silvester	[zɪlfəstɐ]		除夕；新年前夜；新年前夕；新年除夕〈n.m.〉
Sims	[zɪms]		突出部分；暗礁；矿层〈n.〉
Singapur	[zɪnɡapuːɐ]		新加坡〈n.〉
Single	[zɪnɡlə]		单曲；单身〈n.m.〉
Sinken	[zɪnkən]		下降；排出；散开〈n.〉
Sinn	[zɪn]		意义〈n.m.〉
Sirene	[ziːʁənə]		警报器〈n.f.〉
Sirup	[ziːʁuːp]		糖浆；果汁；糖浆剂〈n.m.〉
Sitten	[zɪtən]		习惯；道德态度；惯例〈n.〉
Situation	[ziːtʊat͡sjoːn]		情况〈n.f.〉
Sitz	[zɪt͡s]		座位〈n.m.〉
Sitzung	[zɪt͡sʊnk]		会议〈n.f.〉
Sizilien	[ziːt͡sɪliːn]		西西里岛〈n.〉
Skala	[skaːla]		刻度；衡量；比例〈n.f.〉
Skalpell	[skalpəl]		手术刀〈n.〉
Skandal	[skandaːl]		丑闻〈n.m.〉
Skelett	[skeːlət]		骨骼；骨瘦如柴的人；梗概〈n.〉
Ski	[skɪ]		滑雪板〈n.m.〉
Skip	[skiːp]		跳跃；跳读；跳越〈n.m.〉
Skipper	[skɪpɐ]		船长；机长；队长〈n.m.〉
Sklave	[sklaːfə]		奴隶〈n.m.〉
Sklaverei	[sklaːfəʁaɪ]		奴隶的身分；奴隶状态〈n.f.〉
Skorpion	[skɔʁpɪoːn]		蝎子；心黑的人；蝎尾鞭；蝎〈n.m.〉
Skulptur	[skʊlptuːɐ]		雕刻；雕塑〈n.f.〉
Skye	[skʏə]		匐犬；斯凯岛〈n.〉
Slip	[sliːp]		三角裤〈n.m.〉
Slogan	[sloːɡaːn]		呐喊声；标语；口号〈n.m.〉
Smoking	[smoːkɪnk]		夜小礼服；夜便礼服〈n.m.〉
Snake	[snaːkə]		蛇；拉〈n.m.〉
Socke	[zɔkə]		袜子〈n.f.〉
Sofa	[zoːfa]		沙发〈n.〉
Software	[zɔftvaʁə]		软件；软设备〈n.f.〉
Sohn	[zoːn]		儿子〈n.m.〉
Soldat	[zɔldaːt]		士兵〈n.m.〉
Solo	[zoːlɔ]		独奏；独唱〈n.〉
Sommer	[zɔmɐ]		夏天〈n.m.〉
Sonde	[zɔndə]		探索；调查；探针〈n.f.〉
Sonne	[zɔnə]		太阳〈n.f.〉
Sonnen	[zɔnən]		太阳（复数）；晒太阳〈n.〉
Sonnenaufgang	[zɔnənaʊfɡank]		日出〈n.m.〉
Sonnenbrille	[zɔnənbʁɪlə]		太阳镜；墨镜；太阳眼镜〈n.f.〉
Sonnenlicht	[zɔnənlɪçt]		日光；太阳光〈n.〉
Sonnenschein	[zɔnənʃaɪn]		阳光〈n.m.〉
Sonnensystem	[zɔnənzʏstəm]		太阳系〈n.〉
Sonnenuntergang	[zɔnənʊntəʁɡank]		日落〈n.m.〉
Sonntag	[zɔntaːk]		星期日〈n.m.〉
Sonntags	[zɔntaɡs]		每逢星期天（sonntags 副词形式）〈n.〉
Sorge	[zɔʁɡə]		担忧〈n.f.〉
Sorte	[zɔʁtə]		种类〈n.f.〉
Sowjetunion	[zɔvjətʊnɪoːn]		苏维埃联盟；苏联〈n.f.〉
Soße	[zoːsə]		酱油；调味汁〈n.f.〉
Spalt	[ʃpalt]		裂缝；裂沟；裂开；分裂〈n.m.〉
Spanien	[ʃpaːniːn]		西班牙〈n.〉
Spanier	[ʃpaːniːɐ]		西班牙人〈n.m.〉
Spanisch	[ʃpaːnɪʃ]		西班牙语〈n.〉
Spannung	[ʃpanʊnk]		紧张；电压〈n.f.〉
Spare	[ʃpaːʁə]		浪费；废物；损耗〈n.〉
Spatz	[ʃpat͡s]		麻雀〈n.m.〉
Spaziergang	[ʃpaːt͡siːʁɡank]		散步〈n.m.〉
Spaß	[ʃpaːs]		乐趣；玩笑〈n.m.〉
Speck	[ʃpɛk]		培根〈n.m.〉
Speed	[ʃpeːt]		速率；速度；迅速；加速〈n.〉
Speer	[ʃpeːɐ]		标枪〈n.m.〉
Speicher	[ʃpaɪçɐ]		仓库；货栈〈n.m.〉
Speichern	[ʃpaɪçɐn]		存储；储存；保全〈n.〉
Speisen	[ʃpaɪzən]		热身；重新煮热；变暖；温车〈n.〉
Speisesaal	[ʃpaɪzəzaːl]		大餐厅；食堂；饭厅〈n.m.〉
Spekulieren	[ʃpeːkʊliːʁən]		沉思；推测；投机；投机交易〈n.〉
Spende	[ʃpɛndə]		捐赠物；捐款；捐赠；赠品〈n.f.〉
Spender	[ʃpɛndɐ]		捐赠人；给体；供体〈n.m.〉
Sperma	[ʃpɛʁma]		精液；精虫；鲸油〈n.〉
Spezialeinheit	[ʃpeːt͡sɪalaɪnhaɪt]		特种部队〈n.f.〉
Spezialisten	[ʃpeːt͡sɪalɪstən]		钥匙；键；解答〈n.〉
Spezialität	[ʃpeːt͡sɪalɪtɛːt]		专长；擅长；特种技能〈n.f.〉
Spezies	[ʃpeːt͡siːs]		物种〈n.f.〉
Spiegel	[ʃpiːɡəl]		镜子〈n.m.〉
Spiegelbild	[ʃpiːɡəlbɪlt]		反映；反射；映照〈n.〉
Spiel	[ʃpiːl]		游戏；比赛〈n.〉
Spielchen	[ʃpiːlçən]		小把戏〈n.〉
Spieler	[ʃpiːlɐ]		玩家〈n.m.〉
Spielfeld	[ʃpiːlfəlt]		运动场；比赛场地〈n.〉
Spielplatz	[ʃpiːlplat͡s]		运动场；操场；度假胜地〈n.m.〉
Spielverderber	[ʃpiːlfəʁdəʁbɐ]		扫兴者〈n.m.〉
Spielzeug	[ʃpiːlt͡sɔʏk]		玩具〈n.〉
Spinat	[ʃpiːnaːt]		菠菜；货币；胡说八道〈n.m.〉
Spind	[ʃpɪnt]		抽屉；小柜；上锁人；锁柜〈n.m.〉
Spinne	[ʃpɪnə]		蜘蛛〈n.f.〉
Spinner	[ʃpɪnɐ]		怪人（口语）〈n.m.〉
Spion	[ʃpɪoːn]		间谍〈n.m.〉
Spionage	[ʃpɪɔnaɡə]		刺探；间谍〈n.f.〉
Spitzname	[ʃpɪt͡snamə]		碧海蓝天〈n.〉
Splitter	[ʃplɪtɐ]		碎屑；破片；凿平〈n.m.〉
Sponsor	[ʃpɔnzoːɐ]		保证人；赞助者；发起者〈n.m.〉
Spontan	[ʃpɔntaːn]		特定场合〈n.〉
Sport	[ʃpɔʁt]		体育〈n.m.〉
Sportler	[ʃpɔʁtlɐ]		运动员；运动选手〈n.m.〉
Sportwagen	[ʃpɔʁtvaɡən]		跑车；运动汽车〈n.m.〉
Sprache	[ʃpʁaxə]		语言〈n.f.〉
Sprecher	[ʃpʁɛçɐ]		发言人；代言者〈n.m.〉
Sprengstoff	[ʃpʁɛnɡstɔf]		炸药〈n.m.〉
Sprichwort	[ʃpʁɪçvɔʁt]		谚语；格言〈n.〉
Spring	[ʃpʁɪnk]		倒缆；拱脚线；斜系船缆〈n.f.〉
Spritze	[ʃpʁɪt͡sə]		注射器〈n.f.〉
Spritzen	[ʃpʁɪt͡sən]		打猎；枪杀；喷补〈n.〉
Spritztour	[ʃpʁɪt͡stɔuːɐ]		驾车兜风；偷车乱开；乘汽车兜风〈n.f.〉
Spruch	[ʃpʁuːx]		话语〈n.m.〉
Sprung	[ʃpʁʊnk]		跳跃〈n.m.〉
Spuck	[ʃpʊk]		唾液；唾吐；小雨〈n.〉
Spucke	[ʃpʊkə]		唾液；唾吐；小雨〈n.f.〉
Spur	[ʃpuːɐ]		线索；踪迹〈n.f.〉
Spurensicherung	[ʃpuːʁənzɪçəʁʊnk]		收集；采集；收藏品〈n.f.〉
Spüle	[ʃpyːlə]		藏垢的场所；沟渠〈n.f.〉
Staat	[ʃtaːt]		国家〈n.m.〉
Staatliche	[ʃtaːtlɪçə]		酒鬼〈n.〉
Staatsanwalt	[ʃtaːtzanvalt]		检察官〈n.m.〉
Staatsanwaltschaft	[ʃtaːtzanvalt͡ʃaft]		检察院〈n.f.〉
Staatsbürger	[ʃtaːtsbʏʁɡɐ]		市民；公民；国民〈n.m.〉
Stab	[ʃtaːp]		竿；笞鞭；小枝；棒〈n.m.〉
Stabilität	[ʃtaːbɪlɪtɛːt]		安定；稳定性；坚实〈n.f.〉
Stacheldraht	[ʃtaxəldʁaːt]		铁丝网；带刺铁丝〈n.m.〉
Stadion	[ʃtaːdɪoːn]		病期〈n.〉
Stadium	[ʃtaːdɪuːm]		阶段；舞台；场所〈n.〉
Stadt	[ʃtadt]		城市〈n.f.〉
Stadtrat	[ʃtadtʁaːt]		城镇；市；镇〈n.m.〉
Staffel	[ʃtafəl]		季度；梯队〈n.f.〉
Stahl	[ʃtaːl]		钢；钢制品；钢铁〈n.m.〉
Stall	[ʃtal]		马厩〈n.m.〉
Stamm	[ʃtam]		树干；部落〈n.m.〉
Stammbaum	[ʃtambaʊm]		血统；家谱；名门世系；家系〈n.m.〉
Standard	[ʃtandaʁt]		标准；规格；旗〈n.m.〉
Standort	[ʃtandɔʁt]		位置〈n.m.〉
Standpunkt	[ʃtandpʊnkt]		站立；站住；停顿〈n.m.〉
Stange	[ʃtanɡə]		条；棒；酒吧〈n.f.〉
Stapel	[ʃtaːpəl]		一次所烘的面包；一次所制之量；一组〈n.m.〉
Star	[ʃtaːɐ]		明星〈n.m.〉
Start	[ʃtaʁt]		开始〈n.m.〉
Station	[ʃtaːt͡sjoːn]		车站〈n.f.〉
Statistik	[ʃtaːtɪstiːk]		统计学〈n.f.〉
Statue	[ʃtaːtʊə]		雕像〈n.f.〉
Status	[ʃtaːtʊs]		状态〈n.m.〉
Staub	[ʃtaʊp]		灰尘〈n.m.〉
Staubsauger	[ʃtaʊbzaʊɡɐ]		真空吸尘器〈n.m.〉
Steak	[ʃtɛaːk]		牛排〈n.〉
Stechen	[ʃtɛçən]		赛跑开始〈n.〉
Stein	[ʃtaɪn]		石头〈n.m.〉
Steinbruch	[ʃtaɪnbʁuːx]		采石场；方形石；猎物〈n.m.〉
Stelle	[ʃtɛlə]		地方；职位〈n.f.〉
Stellung	[ʃtɛlʊnk]		位置；姿态〈n.f.〉
Stellungnahme	[ʃtɛlʊnɡnaːmə]		意见；评价；主张〈n.f.〉
Stellvertreter	[ʃtɛlfəʁtʁətɐ]		秒；瞬间；第二名〈n.m.〉
Stempel	[ʃtɛmpəl]		雌蕊〈n.m.〉
Sterbliche	[ʃtɛʁblɪçə]		凡人；会死的人类〈n.〉
Stern	[ʃtɐn]		星〈n.m.〉
Sternzeit	[ʃtɛʁnt͡saɪt]		恒星时〈n.f.〉
Steuer	[ʃtɔʏɐ]		税；方向盘〈n.f.〉
Steuerbord	[ʃtɔʏəʁbɔʁt]		右舷；向右转舵〈n.〉
Steuermann	[ʃtɔʏəʁman]		舵手；做舵手〈n.m.〉
Steuerung	[ʃtɔʏəʁʊnk]		控制；管理；克制〈n.f.〉
Stewardess	[ʃtɛvaʁdəs]		空中小姐；女管理人；女管家〈n.f.〉
Stich	[ʃtiːç]		刺〈n.m.〉
Stichwort	[ʃtɪçvɔʁt]		口号；标语；口头禅〈n.〉
Stiefel	[ʃtiːfəl]		靴子〈n.m.〉
Stiefmutter	[ʃtiːfmʊtɐ]		继母〈n.f.〉
Stiefvater	[ʃtiːffatɐ]		继父〈n.m.〉
Stiel	[ʃtiːl]		柄；把手；把柄〈n.m.〉
Stier	[ʃtiːɐ]		公牛；买方；买空者〈n.m.〉
Stift	[ʃtɪft]		笔〈n.m.〉
Stiftung	[ʃtɪftʊnk]		基础；根据；建立；地基〈n.f.〉
Stil	[ʃtiːl]		风格〈n.m.〉
Stille	[ʃtɪlə]		寂静〈n.f.〉
Stillstand	[ʃtɪlstant]		淤塞；停滞；滞留〈n.m.〉
Stimme	[ʃtɪmə]		声音〈n.f.〉
Stimmengewirr	[ʃtɪmənɡəvɪʁ]		七嘴八舌〈n.〉
Stimmung	[ʃtɪmʊnk]		情绪；气氛〈n.f.〉
Stinker	[ʃtɪnkɐ]		发恶臭之人；臭鬼〈n.m.〉
Stipendium	[ʃtiːpəndɪuːm]		学问；学术成就；奖学金〈n.〉
Stirn	[ʃtɪʁn]		额头〈n.f.〉
Stock	[ʃtɔk]		棒；楼层〈n.m.〉
Stockholm	[ʃtɔkhɔlm]		斯德哥尔摩〈n.〉
