abaisser	[abese]		降低；放下〈v.〉
immense	[imɑ̃s]		巨大的；辽阔的〈adj.〉
immeuble	[imœbl]		楼房；大楼〈n.m.〉
immigration	[imigʁasjɔ̃]		移民；移居〈n.f.〉
imminent	[iminɑ̃]		迫近的；临近的〈adj.〉
immobile	[imobil]		不动的；静止的〈adj.〉
immobilier	[imobilje]		房地产的〈adj.〉
immobiliser	[imobilize]		使停住；冻结〈v.〉
immoler	[imole]		宰杀（祭品）；牺牲〈v.〉
immonde	[imɔ̃d]		污秽的；肮脏的〈adj.〉
immoral	[imoʁal]		不道德的〈adj.〉
immortalité	[imɔʁtalite]		不朽；永生〈n.f.〉
immortel	[imɔʁtɛl]		不朽的；永生的〈adj.〉
immunité	[imynite]		免疫力；豁免权〈n.f.〉
immédiat	[imedja]		立即的；直接的〈adj.〉
immédiatement	[imedjatəmɑ̃]		立即；马上〈adv.〉
impact	[ɛ̃pakt]		冲击；影响〈n.m.〉
impardonnable	[ɛ̃paʁdonabl]		不可原谅的〈adj.〉
impasse	[ɛ̃pas]		死胡同；僵局〈n.f.〉
impatience	[ɛ̃pasjɑ̃s]		不耐烦；急切〈n.f.〉
impatient	[ɛ̃pasjɑ̃]		不耐烦的；急切的〈adj.〉
impatienter	[ɛ̃pasjɑ̃te]		使不耐烦〈v.〉
impeccable	[ɛ̃pekabl]		无可挑剔的；完美的〈adj.〉
impensable	[ɛ̃pɑ̃sabl]		难以想象的〈adj.〉
impitoyable	[ɛ̃pitwajabl]		无情的；冷酷的〈adj.〉
implant	[ɛ̃plɑ̃]		植入体；移植物〈n.m.〉
implanter	[ɛ̃plɑ̃te]		建立；植入〈v.〉
implication	[ɛ̃plikasjɔ̃]		牵连；含义〈n.f.〉
impliquer	[ɛ̃plike]		牵涉；意味着〈v.〉
implorer	[ɛ̃ploʁe]		恳求〈v.〉
impoli	[ɛ̃poli]		不礼貌的；无礼的〈adj.〉
importance	[ɛ̃pɔʁtɑ̃s]		重要性〈n.f.〉
important	[ɛ̃pɔʁtɑ̃]		重要的；重大的〈adj.〉
importer	[ɛ̃pɔʁte]		要紧；重要；进口〈v.〉
importuner	[ɛ̃pɔʁtyne]		打扰；纠缠〈v.〉
imposer	[ɛ̃poze]		强加；施加〈v.〉
impossible	[ɛ̃posibl]		不可能的〈adj.〉
imposteur	[ɛ̃pɔstœʁ]		骗子；冒名顶替者〈n.m.〉
impression	[ɛ̃pʁesjɔ̃]		印象；感觉〈n.f.〉
impressionnant	[ɛ̃pʁesjonɑ̃]		令人惊叹的；可观的〈adj.〉
impressionner	[ɛ̃pʁesjone]		使印象深刻〈v.〉
imprimer	[ɛ̃pʁime]		印刷；打印〈v.〉
improbable	[ɛ̃pʁobabl]		不太可能的；离奇的〈adj.〉
improviser	[ɛ̃pʁovize]		即兴发挥；临时拼凑〈v.〉
imprudent	[ɛ̃pʁydɑ̃]		轻率的；不谨慎的〈adj.〉
imprévisible	[ɛ̃pʁevizibl]		不可预测的〈adj.〉
imprévu	[ɛ̃pʁevy]		意外情况〈n.m.〉
impuissance	[ɛ̃pɥisɑ̃s]		无能为力；无能〈n.f.〉
impuissant	[ɛ̃pɥisɑ̃]		无能为力的〈adj.〉
impulsif	[ɛ̃pylsif]		冲动的〈adj.〉
impulsion	[ɛ̃pylsjɔ̃]		推动；动力；冲量〈n.f.〉
impur	[ɛ̃pyʁ]		不纯的；不洁的〈adj.〉
impénétrable	[ɛ̃penetʁabl]		穿不透的；深不可测的〈adj.〉
impératrice	[ɛ̃peʁatʁis]		女皇；皇后〈n.f.〉
impérial	[ɛ̃peʁjal]		帝国的；专横的〈adj.〉
impôt	[ɛ̃po]		税；税款〈n.m.〉
inacceptable	[inaksɛptabl]		不能接受的〈adj.〉
inaccessible	[inaksesibl]		达不到的；难接近的〈adj.〉
inachevé	[inaʃəve]		未完成的〈adj.〉
inadmissible	[inadmisibl]		不可容忍的；离谱的〈adj.〉
inaperçu	[inapɛʁsy]		未被注意的；不显眼的〈adj.〉
inattendu	[inatɑ̃dy]		意外的；想不到的〈adj.〉
inaudible	[inodibl]		听不见的〈adj.〉
inauguration	[inogyʁasjɔ̃]		落成典礼；开幕式〈n.f.〉
inaugurer	[inogyʁe]		揭幕；开创〈v.〉
incapable	[ɛ̃kapabl]		无能的；不能的〈adj.〉
incapacité	[ɛ̃kapasite]		无能力；丧失劳动能力〈n.f.〉
incarner	[ɛ̃kaʁne]		化身；体现〈v.〉
incendie	[ɛ̃sɑ̃di]		火灾〈n.m.〉
incendier	[ɛ̃sɑ̃dje]		纵火焚烧〈v.〉
incertain	[ɛ̃sɛʁtɛ̃]		不确定的〈adj.〉
incertitude	[ɛ̃sɛʁtityd]		不确定；犹豫不决〈n.f.〉
incident	[ɛ̃sidɑ̃]		事故；冲突〈n.m.〉
incinérer	[ɛ̃sineʁe]		焚化；火化〈v.〉
incision	[ɛ̃sizjɔ̃]		切口；切开〈n.f.〉
inciter	[ɛ̃site]		促使；激励；煽动〈v.〉
incliner	[ɛ̃kline]		使倾斜；倾向〈v.〉
inclure	[ɛ̃klyʁ]		包括；包含〈v.〉
incomplet	[ɛ̃kɔ̃plɛ]		不完整的；不全的〈adj.〉
incompréhensible	[ɛ̃kɔ̃pʁeɑ̃sibl]		无法理解的〈adj.〉
incompétent	[ɛ̃kɔ̃petɑ̃]		不称职的；无能的〈adj.〉
inconnu	[ɛ̃kony]		陌生人；未知的人〈n.m.〉
inconscient	[ɛ̃kɔ̃sjɑ̃]		无意识的；不省人事的〈adj.〉
incontrôlable	[ɛ̃kɔ̃tʁolabl]		无法控制的〈adj.〉
inconvénient	[ɛ̃kɔ̃venjɑ̃]		缺点；不便〈n.m.〉
incorrect	[ɛ̃koʁɛkt]		不正确的；失礼的〈adj.〉
incroyable	[ɛ̃kʁwajabl]		难以置信的；惊人的〈adj.〉
incroyablement	[ɛ̃kʁwajabləmɑ̃]		难以置信地；极其〈adv.〉
incruster	[ɛ̃kʁyste]		镶嵌；使嵌入〈v.〉
inculpation	[ɛ̃kylpasjɔ̃]		控告；指控〈n.f.〉
inculper	[ɛ̃kylpe]		控告〈v.〉
inculte	[ɛ̃kylt]		无教养的；无知的〈adj.〉
incurable	[ɛ̃kyʁabl]		无法治愈的；无可救药的〈adj.〉
indemne	[ɛ̃dɛmn]		安然无恙的〈adj.〉
indemnité	[ɛ̃dɛmnite]		补偿金；津贴〈n.f.〉
index	[ɛ̃dɛks]		索引；食指〈n.m.〉
indic	[ɛ̃dik]		告密者（口语）〈n.m.〉
indication	[ɛ̃dikasjɔ̃]		指示；迹象；说明〈n.f.〉
indice	[ɛ̃dis]		线索；指数；迹象〈n.m.〉
indien	[ɛ̃djɛ̃]		印度的；印第安的；印度人〈n.m.〉
indifférence	[ɛ̃difeʁɑ̃s]		冷淡；无动于衷〈n.f.〉
indifférent	[ɛ̃difeʁɑ̃]		冷漠的；无所谓的〈adj.〉
indigne	[ɛ̃diɲ]		不相称的；可耻的〈adj.〉
indigner	[ɛ̃diɲe]		使愤慨；激怒〈v.〉
indigène	[ɛ̃diʒɛn]		土著；本地的〈n.〉
indiquer	[ɛ̃dike]		指示；表明〈v.〉
indiscret	[ɛ̃diskʁɛ]		多嘴的；冒失的〈adj.〉
indiscrétion	[ɛ̃diskʁesjɔ̃]		冒失；泄密〈n.f.〉
indispensable	[ɛ̃dispɑ̃sabl]		必不可少的〈adj.〉
individu	[ɛ̃dividy]		个人；个体〈n.m.〉
individuel	[ɛ̃dividɥɛl]		个人的；单独的〈adj.〉
indulgence	[ɛ̃dylʒɑ̃s]		宽容；宽厚〈n.f.〉
indulgent	[ɛ̃dylʒɑ̃]		宽容的；宽大的〈adj.〉
industrie	[ɛ̃dystʁi]		工业〈n.f.〉
industriel	[ɛ̃dystʁijɛl]		工业的〈adj.〉
indépendance	[ɛ̃depɑ̃dɑ̃s]		独立〈n.f.〉
indépendant	[ɛ̃depɑ̃dɑ̃]		独立的；自主的〈adj.〉
inestimable	[inɛstimabl]		无法估价的；极珍贵的〈adj.〉
inexplicable	[inɛksplikabl]		无法解释的〈adj.〉
infaillible	[ɛ̃fajibl]		不会犯错的；万无一失的〈adj.〉
infamie	[ɛ̃fami]		丑行；耻辱〈n.f.〉
infanterie	[ɛ̃fɑ̃təʁi]		步兵；步兵团〈n.f.〉
infantile	[ɛ̃fɑ̃til]		幼儿的；幼稚的〈adj.〉
infarctus	[ɛ̃faʁktys]		梗死；心肌梗死〈n.m.〉
infect	[ɛ̃fɛkt]		恶臭的；极糟的〈adj.〉
infecter	[ɛ̃fɛkte]		感染；污染〈v.〉
infection	[ɛ̃fɛksjɔ̃]		感染〈n.f.〉
infecté	[ɛ̃fɛkte]		被感染的〈adj.〉
infernal	[ɛ̃fɛʁnal]		地狱般的；难熬的〈adj.〉
infidèle	[ɛ̃fidɛl]		不忠的；背信的〈adj.〉
infiltrer	[ɛ̃filtʁe]		渗透；潜入〈v.〉
infini	[ɛ̃fini]		无限的；无穷的〈adj.〉
infiniment	[ɛ̃finimɑ̃]		无限地；极其〈adv.〉
infirmerie	[ɛ̃fiʁməʁi]		医务室〈n.f.〉
infirmier	[ɛ̃fiʁmje]		护士〈n.m.〉
infliger	[ɛ̃fliʒe]		使遭受；施加〈v.〉
influence	[ɛ̃flyɑ̃s]		影响；影响力〈n.f.〉
influencer	[ɛ̃flyɑ̃se]		影响〈v.〉
influent	[ɛ̃flyɑ̃]		有影响力的〈adj.〉
info	[ɛ̃fo]		消息；信息（口语）〈n.f.〉
informateur	[ɛ̃fɔʁmatœʁ]		线人；情报提供者〈n.m.〉
information	[ɛ̃fɔʁmasjɔ̃]		信息；消息〈n.f.〉
informatique	[ɛ̃fɔʁmatik]		信息技术的；信息技术〈adj.〉
informer	[ɛ̃fɔʁme]		通知；告知〈v.〉
informé	[ɛ̃fɔʁme]		知情的；消息灵通的〈adj.〉
infraction	[ɛ̃fʁaksjɔ̃]		违法行为；违规〈n.f.〉
infâme	[ɛ̃fam]		可耻的；恶劣的〈adj.〉
inférieur	[ɛ̃feʁjœʁ]		较低的；下级的〈adj.〉
ingrat	[ɛ̃gʁa]		忘恩负义的；不讨好的〈adj.〉
ingrédient	[ɛ̃gʁedjɑ̃]		成分；配料〈n.m.〉
ingénieur	[ɛ̃ʒenjœʁ]		工程师〈n.m.〉
ingénieux	[ɛ̃ʒenjø]		巧妙的；有独创性的〈adj.〉
inhabituel	[inabitɥɛl]		不寻常的；罕见的〈adj.〉
inhumain	[inymɛ̃]		非人的；残忍的〈adj.〉
inimaginable	[inimaʒinabl]		难以想象的〈adj.〉
initial	[inisjal]		最初的；开头的〈adj.〉
initiale	[inisjal]		首字母〈n.f.〉
initiative	[inisjativ]		主动权；倡议〈n.f.〉
initier	[inisje]		启蒙；传授入门〈v.〉
injecter	[ɛ̃ʒɛkte]		注射；注入〈v.〉
injection	[ɛ̃ʒɛksjɔ̃]		注射；注入〈n.f.〉
injure	[ɛ̃ʒyʁ]		辱骂；侮辱〈n.f.〉
injuste	[ɛ̃ʒyst]		不公正的〈adj.〉
injustice	[ɛ̃ʒystis]		不公正；不义〈n.f.〉
innocence	[inosɑ̃s]		清白；天真〈n.f.〉
innocent	[inosɑ̃]		无辜的；天真的〈adj.〉
innombrable	[inɔ̃bʁabl]		无数的〈adj.〉
inoffensif	[inofɑ̃sif]		无害的〈adj.〉
inondation	[inɔ̃dasjɔ̃]		洪水；水灾〈n.f.〉
inonder	[inɔ̃de]		淹没；充斥〈v.〉
inoubliable	[inublijabl]		难忘的〈adj.〉
inouï	[inwi]		闻所未闻的；惊人的〈adj.〉
inquiet	[ɛ̃kjɛ]		担心的；不安的〈adj.〉
inquisition	[ɛ̃kizisjɔ̃]		宗教裁判；严查〈n.f.〉
inquiétant	[ɛ̃kjetɑ̃]		令人担心的；可疑的〈adj.〉
inquiéter	[ɛ̃kjete]		担心；使不安〈v.〉
inquiétude	[ɛ̃kjetyd]		担心；忧虑〈n.f.〉
insatiable	[ɛ̃sasjabl]		贪得无厌的；永不满足的〈adj.〉
inscription	[ɛ̃skʁipsjɔ̃]		登记；注册；题词〈n.f.〉
inscrire	[ɛ̃skʁiʁ]		登记；题写〈v.〉
insecte	[ɛ̃sɛkt]		昆虫〈n.m.〉
insensible	[ɛ̃sɑ̃sibl]		无感觉的；无动于衷的〈adj.〉
insensé	[ɛ̃sɑ̃se]		荒唐的；疯狂的〈adj.〉
insigne	[ɛ̃siɲ]		徽章；勋章〈n.m.〉
insignifiant	[ɛ̃siɲifjɑ̃]		微不足道的〈adj.〉
insinuer	[ɛ̃sinɥe]		暗示；影射〈v.〉
insister	[ɛ̃siste]		坚持；坚决要求〈v.〉
insolence	[ɛ̃solɑ̃s]		无礼；傲慢〈n.f.〉
insolent	[ɛ̃sɔlɑ̃]		傲慢无礼的〈adj.〉
insolite	[ɛ̃solit]		奇特的；少见的〈adj.〉
insomnie	[ɛ̃sɔmni]		失眠〈n.f.〉
insouciant	[ɛ̃susjɑ̃]		无忧无虑的〈adj.〉
inspecter	[ɛ̃spɛkte]		检查；视察〈v.〉
inspecteur	[ɛ̃spɛktœʁ]		督察；警探〈n.m.〉
inspection	[ɛ̃spɛksjɔ̃]		检查；视察〈n.f.〉
inspiration	[ɛ̃spiʁasjɔ̃]		灵感；吸气〈n.f.〉
inspirer	[ɛ̃spiʁe]		吸气；启发〈v.〉
instable	[ɛ̃stabl]		不稳定的；反复无常的〈adj.〉
installation	[ɛ̃stalasjɔ̃]		安装；设施；安置〈n.f.〉
installer	[ɛ̃stale]		安装；安顿〈v.〉
instant	[ɛ̃stɑ̃]		瞬间；片刻〈n.m.〉
instantané	[ɛ̃stɑ̃tane]		瞬间的；即时的〈adj.〉
instaurer	[ɛ̃stoʁe]		设立；建立〈v.〉
instinct	[ɛ̃stɛ̃]		本能〈n.m.〉
institut	[ɛ̃stity]		学院；研究所〈n.m.〉
instituteur	[ɛ̃stitytœʁ]		小学教师〈n.m.〉
institution	[ɛ̃stitysjɔ̃]		机构；制度〈n.f.〉
instruction	[ɛ̃stʁyksjɔ̃]		指示；教育〈n.f.〉
instruire	[ɛ̃stʁɥiʁ]		教育；告知〈v.〉
instruit	[ɛ̃stʁɥi]		有学识的；博学的〈adj.〉
instrument	[ɛ̃stʁymɑ̃]		乐器；仪器；工具〈n.m.〉
insu	[ɛ̃sy]		不知；瞒着〈n.m.〉
insuffisant	[ɛ̃syfizɑ̃]		不足的；不够的〈adj.〉
insulte	[ɛ̃sylt]		侮辱；辱骂〈n.f.〉
insulter	[ɛ̃sylte]		辱骂；侮辱〈v.〉
insupportable	[ɛ̃sypɔʁtabl]		难以忍受的〈adj.〉
inséparable	[ɛ̃sepaʁabl]		不可分开的〈adj.〉
insérer	[ɛ̃seʁe]		插入；嵌入〈v.〉
intact	[ɛ̃takt]		完好无损的〈adj.〉
intellectuel	[ɛ̃telɛktɥɛl]		智力的；知识分子的〈adj.〉
intelligence	[ɛ̃teliʒɑ̃s]		智力；智慧〈n.f.〉
intelligent	[ɛ̃teliʒɑ̃]		聪明的〈adj.〉
intello	[ɛ̃tɛlo]		知识分子（口语）〈n.〉
intendant	[ɛ̃tɑ̃dɑ̃]		总管；事务主管〈n.m.〉
intense	[ɛ̃tɑ̃s]		强烈的；紧张的〈adj.〉
intensif	[ɛ̃tɑ̃sif]		强化的；密集的〈adj.〉
intensité	[ɛ̃tɑ̃site]		强度；强烈〈n.f.〉
intention	[ɛ̃tɑ̃sjɔ̃]		意图；打算〈n.f.〉
intercepter	[ɛ̃tɛʁsɛpte]		拦截；截住〈v.〉
interdiction	[ɛ̃tɛʁdiksjɔ̃]		禁止；禁令〈n.f.〉
interdire	[ɛ̃tɛʁdiʁ]		禁止〈v.〉
interdit	[ɛ̃tɛʁdi]		被禁止的〈adj.〉
interférence	[ɛ̃tɛʁfeʁɑ̃s]		干扰；干涉〈n.f.〉
interférer	[ɛ̃tɛʁfeʁe]		干扰；干涉〈v.〉
interminable	[ɛ̃tɛʁminabl]		没完没了的〈adj.〉
intermédiaire	[ɛ̃tɛʁmedjɛʁ]		中间人；媒介〈n.〉
internat	[ɛ̃tɛʁna]		寄宿学校〈n.m.〉
international	[ɛ̃tɛʁnasjonal]		国际的〈adj.〉
interne	[ɛ̃tɛʁn]		内部的；实习医师〈adj.〉
interner	[ɛ̃tɛʁne]		强制收治；拘禁〈v.〉
internet	[ɛ̃tɛʁnɛt]		互联网〈n.〉
interprète	[ɛ̃tɛʁpʁɛt]		口译员；表演者〈n.〉
interprétation	[ɛ̃tɛʁpʁetasjɔ̃]		解释；演绎；口译〈n.f.〉
interpréter	[ɛ̃tɛʁpʁete]		口译；诠释；扮演〈v.〉
interrogation	[ɛ̃tɛʁogasjɔ̃]		提问；讯问；测验〈n.f.〉
interrogatoire	[ɛ̃tɛʁogatwaʁ]		审讯；讯问〈n.m.〉
interroger	[ɛ̃tɛʁoʒe]		审问；询问〈v.〉
interrompre	[ɛ̃tɛʁɔ̃pʁ]		打断；中断〈v.〉
interrupteur	[ɛ̃tɛʁyptœʁ]		开关〈n.m.〉
interruption	[ɛ̃tɛʁypsjɔ̃]		中断；中止〈n.f.〉
intervalle	[ɛ̃tɛʁval]		间隔；幕间休息〈n.m.〉
intervenir	[ɛ̃tɛʁvəniʁ]		介入；干预；发言〈v.〉
intervention	[ɛ̃tɛʁvɑ̃sjɔ̃]		干预；介入；手术〈n.f.〉
intestin	[ɛ̃tɛstɛ̃]		肠〈n.m.〉
intime	[ɛ̃tim]		亲密的；私密的〈adj.〉
intimider	[ɛ̃timide]		恐吓；使胆怯〈v.〉
intimité	[ɛ̃timite]		亲密；隐私〈n.f.〉
intituler	[ɛ̃tityle]		题为；定名为〈v.〉
intolérable	[ɛ̃toleʁabl]		无法容忍的〈adj.〉
intrigue	[ɛ̃tʁig]		阴谋；情节〈n.f.〉
intriguer	[ɛ̃tʁige]		引起好奇；密谋〈v.〉
introduction	[ɛ̃tʁodyksjɔ̃]		引言；引进；入门〈n.f.〉
introduire	[ɛ̃tʁodɥiʁ]		引入；插入〈v.〉
introuvable	[ɛ̃tʁuvabl]		找不到的；下落不明的〈adj.〉
intrus	[ɛ̃tʁy]		闯入者；不速之客〈n.m.〉
intrusion	[ɛ̃tʁyzjɔ̃]		闯入；侵扰〈n.f.〉
intuition	[ɛ̃tɥisjɔ̃]		直觉〈n.f.〉
intégrer	[ɛ̃tegʁe]		使融入；整合〈v.〉
intégrité	[ɛ̃tegʁite]		完整；正直〈n.f.〉
intéressant	[ɛ̃teʁɛsɑ̃]		有趣的〈adj.〉
intéresser	[ɛ̃teʁese]		使感兴趣〈v.〉
intéressé	[ɛ̃teʁese]		感兴趣的；有利害关系的〈adj.〉
intérieur	[ɛ̃teʁjœʁ]		内部；里面〈n.m.〉
intérêt	[ɛ̃teʁɛ]		兴趣；利益〈n.m.〉
inutile	[inytil]		无用的；徒劳的〈adj.〉
invasion	[ɛ̃vazjɔ̃]		入侵；侵略〈n.f.〉
inventaire	[ɛ̃vɑ̃tɛʁ]		清单；盘点〈n.m.〉
inventer	[ɛ̃vɑ̃te]		发明；编造〈v.〉
inventeur	[ɛ̃vɑ̃tœʁ]		发明者〈n.m.〉
invention	[ɛ̃vɑ̃sjɔ̃]		发明；虚构〈n.f.〉
inverse	[ɛ̃vɛʁs]		相反；反面〈n.〉
inverser	[ɛ̃vɛʁse]		颠倒；反转〈v.〉
investigation	[ɛ̃vɛstigasjɔ̃]		调查；侦查〈n.f.〉
investir	[ɛ̃vɛstiʁ]		投资；投入〈v.〉
investissement	[ɛ̃vɛstisəmɑ̃]		投资〈n.m.〉
investisseur	[ɛ̃vɛstisœʁ]		投资者〈n.m.〉
invincible	[ɛ̃vɛ̃sibl]		无敌的；不可战胜的〈adj.〉
invisible	[ɛ̃vizibl]		看不见的〈adj.〉
invitation	[ɛ̃vitasjɔ̃]		邀请〈n.f.〉
inviter	[ɛ̃vite]		邀请；招待〈v.〉
invité	[ɛ̃vite]		客人；受邀者〈n.m.〉
involontaire	[ɛ̃volɔ̃tɛʁ]		无意的；非自愿的〈adj.〉
invoquer	[ɛ̃voke]		援引；祈求〈v.〉
inévitable	[inevitabl]		不可避免的〈adj.〉
iris	[iʁis]		鸢尾；虹膜〈n.m.〉
irlandais	[iʁlɑ̃dɛ]		爱尔兰的；爱尔兰人〈adj.〉
ironie	[iʁoni]		讽刺；反语〈n.f.〉
ironique	[iʁonik]		讽刺的；反语的〈adj.〉
irresponsable	[iʁɛspɔ̃sabl]		不负责任的〈adj.〉
irriter	[iʁite]		激怒；使不适〈v.〉
irruption	[iʁypsjɔ̃]		闯入；突然出现〈n.f.〉
irréel	[iʁeɛl]		虚幻的；不真实的〈adj.〉
irrégulier	[iʁegylje]		不规则的；无规律的〈adj.〉
irréprochable	[iʁepʁoʃabl]		无可指摘的；完美无瑕的〈adj.〉
irrésistible	[iʁezistibl]		不可抗拒的〈adj.〉
islam	[islam]		伊斯兰教〈n.m.〉
isolement	[izɔləmɑ̃]		隔离；孤独〈n.m.〉
isoler	[izole]		使孤立；隔离〈v.〉
isolé	[izole]		孤立的；偏僻的〈adj.〉
israélien	[isʁaeljɛ̃]		以色列的；以色列人〈adj.〉
issu	[isy]		出身于……的〈adj.〉
issue	[isy]		出口；出路；结局〈n.f.〉
italien	[italjɛ̃]		意大利的；意大利人〈adj.〉
itinéraire	[itineʁɛʁ]		路线；行程〈n.m.〉
ivre	[ivʁ]		醉的〈adj.〉
ivresse	[ivʁɛs]		醉意；陶醉〈n.f.〉
ivrogne	[ivʁɔɲ]		酒鬼〈n.〉
jacuzzi	[ʒakyzi]		按摩浴缸〈n.m.〉
jadis	[ʒadis]		从前；往昔〈adv.〉
jaillir	[ʒajiʁ]		喷出；迸发〈v.〉
jalousie	[ʒaluzi]		嫉妒；妒忌〈n.f.〉
jaloux	[ʒalu]		嫉妒的〈adj.〉
jamais	[ʒamɛ]		从不；从未〈adv.〉
jambe	[ʒɑ̃b]		腿；腿部〈n.f.〉
jambon	[ʒɑ̃bɔ̃]		火腿〈n.m.〉
janvier	[ʒɑ̃vje]		一月〈n.m.〉
japonais	[ʒaponɛ]		日本的；日本人；日语〈n.m.〉
jardin	[ʒaʁdɛ̃]		花园〈n.m.〉
jardinier	[ʒaʁdinje]		园丁〈n.m.〉
jaser	[ʒaze]		闲聊；说闲话〈v.〉
jaune	[ʒon]		黄色的〈adj.〉
jazz	[dʒaz]		爵士乐〈n.m.〉
je	[ʒə]		我（主格）〈pron.〉
jean	[dʒin]		牛仔裤；牛仔布〈n.m.〉
jeep	[dʒip]		吉普车〈n.f.〉
jet	[dʒɛt]		喷射；投掷〈n.m.〉
jeter	[ʒəte]		扔；抛；扔掉〈v.〉
jeton	[ʒətɔ̃]		筹码；代币〈n.m.〉
jetée	[ʒəte]		防波堤；码头〈n.f.〉
jeu	[ʒø]		游戏；比赛〈n.m.〉
jeudi	[ʒødi]		星期四〈n.m.〉
jeune	[ʒœn]		年轻的；年幼的〈adj.〉
jeunesse	[ʒœnɛs]		青年；青春〈n.f.〉
jeûner	[ʒøne]		禁食；斋戒〈v.〉
job	[dʒɔb]		工作（口语）〈n.m.〉
jogging	[dʒɔgiŋ]		慢跑；运动裤〈n.m.〉
joie	[ʒwa]		喜悦；欢乐〈n.f.〉
joindre	[ʒwɛ̃dʁ]		连接；接通；加入〈v.〉
joint	[ʒwɛ̃]		接缝；接头〈n.m.〉
joker	[ʒokɛʁ]		鬼牌；王牌〈n.m.〉
joli	[ʒoli]		漂亮的；好看的〈adj.〉
joliment	[ʒolimɑ̃]		漂亮地；相当〈adv.〉
joue	[ʒu]		脸颊〈n.f.〉
jouer	[ʒwe]		玩；演奏；扮演〈v.〉
jouet	[ʒwɛ]		玩具〈n.m.〉
joueur	[ʒwœʁ]		玩家；运动员〈n.m.〉
joug	[ʒu]		枷锁；束缚〈n.m.〉
jouir	[ʒwiʁ]		享有；获得乐趣〈v.〉
jour	[ʒuʁ]		天；白天；日子〈n.m.〉
journal	[ʒuʁnal]		报纸；日记〈n.m.〉
journalisme	[ʒuʁnalizm]		新闻业〈n.m.〉
journaliste	[ʒuʁnalist]		记者〈n.〉
journée	[ʒuʁne]		一天；白天〈n.f.〉
joyau	[ʒwajo]		珠宝；珍品〈n.m.〉
joyeux	[ʒwajø]		快乐的；欢快的〈adj.〉
judiciaire	[ʒydisjɛʁ]		司法的〈adj.〉
judicieux	[ʒydisjø]		明智的；中肯的〈adj.〉
juge	[ʒyʒ]		法官；裁判〈n.m.〉
jugement	[ʒyʒəmɑ̃]		判断；审判〈n.m.〉
juger	[ʒyʒe]		审判；判断；评价〈v.〉
juif	[ʒɥif]		犹太人；犹太的〈n.m.〉
juillet	[ʒɥijɛ]		七月〈n.m.〉
juin	[ʒɥɛ̃]		六月〈n.m.〉
jules	[ʒyl]		丈夫；男人（口语）〈n.m.〉
jumeau	[ʒymo]		双胞胎之一〈n.m.〉
jumelle	[ʒymɛl]		双胞胎之一；（复）双筒望远镜〈n.f.〉
jument	[ʒymɑ̃]		母马〈n.f.〉
jungle	[ʒœ̃gl]		丛林〈n.f.〉
junior	[ʒynjɔʁ]		年少的；青少年的〈adj.〉
junkie	[ʒœnki]		瘾君子〈n.m.〉
jupe	[ʒyp]		裙子〈n.f.〉
jurer	[ʒyʁe]		发誓；咒骂〈v.〉
juridiction	[ʒyʁidiksjɔ̃]		司法权；法院〈n.f.〉
juridique	[ʒyʁidik]		法律的；司法的〈adj.〉
juriste	[ʒyʁist]		法学家；法律专家〈n.〉
jury	[ʒyʁi]		评审团；陪审团〈n.m.〉
juré	[ʒyʁe]		陪审员〈n.m.〉
jus	[ʒy]		果汁；肉汁〈n.m.〉
jusque	[ʒysk]		直到〈prép.〉
jusque-là	[ʒyskəla]		直到那时；迄今〈adv.〉
juste	[ʒyst]		正确的；恰好；公正的〈adj.〉
justement	[ʒystəmɑ̃]		正好；恰恰〈adv.〉
justice	[ʒystis]		司法；正义〈n.〉
justifier	[ʒystifje]		为…辩解；说明理由〈v.〉
juteux	[ʒytø]		多汁的；有利可图的〈adj.〉
karaté	[kaʁate]		空手道〈n.m.〉
karma	[kaʁma]		业报；因果〈n.m.〉
ketchup	[kɛtʃœp]		番茄酱〈n.m.〉
keuf	[kœf]		警察（俚语）〈n.f.〉
kid	[kid]		小孩（口语）〈n.m.〉
kidnapper	[kidnape]		绑架〈v.〉
kidnappeur	[kidnapœʁ]		绑架者〈n.m.〉
kidnapping	[kidnapiŋ]		绑架；绑架案〈n.m.〉
kilo	[kilo]		千克；公斤〈n.m.〉
kilomètre	[kilomɛtʁ]		千米；公里〈n.m.〉
kiosque	[kjɔsk]		报亭；售货亭〈n.m.〉
kit	[kit]		成套工具；套装〈n.m.〉
klaxon	[klaksɔ̃]		（汽车）喇叭〈n.m.〉
klaxonner	[klaksone]		鸣喇叭〈v.〉
l'un	[lœ̃]		两者之一；一个…另一个〈pron.〉
la	[la]		定冠词；她（宾格）〈art.〉
la plupart	[laplypaʁ]		大部分；大多数〈pron.〉
la plupart de	[laplypaʁdø]		大多数；大部分〈adj.〉
la plupart des	[laplypaʁdɛ]		大多数〈adj.〉
labeur	[labœʁ]		苦工；辛劳〈n.m.〉
labo	[labo]		实验室（口语）〈n.m.〉
laboratoire	[laboʁatwaʁ]		实验室〈n.m.〉
labourer	[labuʁe]		耕地；翻土〈v.〉
labyrinthe	[labiʁɛ̃t]		迷宫〈n.m.〉
lac	[lak]		湖；湖泊〈n.m.〉
lacet	[lasɛ]		鞋带；系带〈n.m.〉
laid	[lɛ]		丑的；难看的〈adj.〉
laine	[lɛn]		羊毛；毛线〈n.f.〉
laisse	[lɛs]		（牵狗的）绳带〈n.f.〉
